O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
11-1011.00	4.C.2.c.1.c	Exposed to High Places	CX	n/a	1.14	37	0.0868	1.0000	1.3198	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.c	Exposed to High Places	CXP	1	85.62	37	8.6827	58.7547	96.1399	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.c	Exposed to High Places	CXP	2	14.38	37	8.6827	3.8601	41.2453	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.c	Exposed to High Places	CXP	3	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.c	Exposed to High Places	CXP	4	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.c	Exposed to High Places	CXP	5	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.d	Exposed to Hazardous Conditions	CX	n/a	1.33	37	0.1309	1.0602	1.5912	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.d	Exposed to Hazardous Conditions	CXP	1	70.86	37	11.5007	44.0053	88.2709	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.d	Exposed to Hazardous Conditions	CXP	2	25.71	37	10.8390	9.8641	52.2413	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.d	Exposed to Hazardous Conditions	CXP	3	3.43	37	3.4845	0.4199	23.0585	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.d	Exposed to Hazardous Conditions	CXP	4	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.d	Exposed to Hazardous Conditions	CXP	5	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.e	Exposed to Hazardous Equipment	CX	n/a	1.38	37	0.1795	1.0202	1.7482	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.e	Exposed to Hazardous Equipment	CXP	1	79.80	37	9.4194	54.7030	92.8152	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.e	Exposed to Hazardous Equipment	CXP	2	8.85	37	6.6966	1.7730	34.3295	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.e	Exposed to Hazardous Equipment	CXP	3	4.48	37	4.5319	0.5459	28.6452	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.e	Exposed to Hazardous Equipment	CXP	4	6.87	37	4.5041	1.7359	23.5243	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.e	Exposed to Hazardous Equipment	CXP	5	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.f	Exposed to Minor Burns, Cuts, Bites, or Stings	CX	n/a	1.23	37	0.1148	1.0000	1.4605	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.f	Exposed to Minor Burns, Cuts, Bites, or Stings	CXP	1	82.68	37	7.8790	60.9996	93.5790	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.f	Exposed to Minor Burns, Cuts, Bites, or Stings	CXP	2	11.88	37	6.0255	4.0255	30.2266	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.f	Exposed to Minor Burns, Cuts, Bites, or Stings	CXP	3	5.44	37	4.6917	0.8964	26.7835	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.f	Exposed to Minor Burns, Cuts, Bites, or Stings	CXP	4	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.c.1.f	Exposed to Minor Burns, Cuts, Bites, or Stings	CXP	5	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.a	Spend Time Sitting	CX	n/a	4.18	36	0.1535	3.8687	4.4921	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.a	Spend Time Sitting	CXP	1	0.00	36	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.a	Spend Time Sitting	CXP	2	2.97	36	3.0388	0.3572	20.6774	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.a	Spend Time Sitting	CXP	3	14.52	36	7.5025	4.7413	36.6874	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.a	Spend Time Sitting	CXP	4	44.03	36	10.1799	25.3745	64.5315	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.a	Spend Time Sitting	CXP	5	38.49	36	9.2914	22.0029	58.1258	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.b	Spend Time Standing	CX	n/a	2.13	37	0.1836	1.7555	2.5003	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.b	Spend Time Standing	CXP	1	18.94	37	7.3009	8.1815	38.0044	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.b	Spend Time Standing	CXP	2	58.45	37	8.5299	40.8306	74.1482	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.b	Spend Time Standing	CXP	3	16.41	37	7.8596	5.7855	38.5564	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.b	Spend Time Standing	CXP	4	3.26	37	3.3336	0.3943	22.3172	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.b	Spend Time Standing	CXP	5	2.93	37	3.0021	0.3546	20.4132	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.c	Spend Time Climbing Ladders, Scaffolds, or Poles	CX	n/a	1.06	37	0.0473	1.0000	1.1522	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.c	Spend Time Climbing Ladders, Scaffolds, or Poles	CXP	1	94.38	37	4.7333	73.3184	99.0362	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.c	Spend Time Climbing Ladders, Scaffolds, or Poles	CXP	2	5.62	37	4.7333	0.9638	26.6816	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.c	Spend Time Climbing Ladders, Scaffolds, or Poles	CXP	3	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.c	Spend Time Climbing Ladders, Scaffolds, or Poles	CXP	4	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.c	Spend Time Climbing Ladders, Scaffolds, or Poles	CXP	5	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.d	Spend Time Walking or Running	CX	n/a	1.72	37	0.1031	1.5084	1.9264	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.d	Spend Time Walking or Running	CXP	1	32.74	37	8.0469	18.8306	50.5287	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.d	Spend Time Walking or Running	CXP	2	62.78	37	8.0235	45.6674	77.1886	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.d	Spend Time Walking or Running	CXP	3	4.48	37	4.5319	0.5459	28.6452	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.d	Spend Time Walking or Running	CXP	4	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.d	Spend Time Walking or Running	CXP	5	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.e	Spend Time Kneeling, Crouching, Stooping, or Crawling	CX	n/a	1.13	37	0.0715	1.0000	1.2780	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.e	Spend Time Kneeling, Crouching, Stooping, or Crawling	CXP	1	86.70	37	7.1458	64.9732	95.8155	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.e	Spend Time Kneeling, Crouching, Stooping, or Crawling	CXP	2	13.30	37	7.1458	4.1845	35.0268	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.e	Spend Time Kneeling, Crouching, Stooping, or Crawling	CXP	3	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.e	Spend Time Kneeling, Crouching, Stooping, or Crawling	CXP	4	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.e	Spend Time Kneeling, Crouching, Stooping, or Crawling	CXP	5	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.f	Spend Time Keeping or Regaining Balance	CX	n/a	1.43	36	0.2276	1.0000	1.8953	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.f	Spend Time Keeping or Regaining Balance	CXP	1	85.76	36	6.5899	66.8181	94.7380	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.f	Spend Time Keeping or Regaining Balance	CXP	2	1.29	36	0.8365	0.3450	4.7219	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.f	Spend Time Keeping or Regaining Balance	CXP	3	4.88	36	4.8608	0.6081	30.0705	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.f	Spend Time Keeping or Regaining Balance	CXP	4	0.00	36	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.f	Spend Time Keeping or Regaining Balance	CXP	5	8.07	36	5.8513	1.7398	30.3282	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.g	Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls	CX	n/a	2.17	35	0.2852	1.5889	2.7482	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.g	Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls	CXP	1	43.83	35	8.6492	27.6476	61.4415	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.g	Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls	CXP	2	29.46	35	11.6180	11.8239	56.5384	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.g	Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls	CXP	3	5.88	35	4.2309	1.3019	22.8092	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.g	Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls	CXP	4	7.69	35	6.6459	1.2254	35.8428	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.g	Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls	CXP	5	13.15	35	6.5593	4.4982	32.7256	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.h	Spend Time Bending or Twisting Your Body	CX	n/a	1.47	37	0.1142	1.2343	1.6974	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.h	Spend Time Bending or Twisting Your Body	CXP	1	57.90	37	8.7383	39.9321	73.9965	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.h	Spend Time Bending or Twisting Your Body	CXP	2	37.61	37	7.9655	23.2478	54.5498	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.h	Spend Time Bending or Twisting Your Body	CXP	3	4.48	37	4.5319	0.5459	28.6452	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.h	Spend Time Bending or Twisting Your Body	CXP	4	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.h	Spend Time Bending or Twisting Your Body	CXP	5	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.i	Spend Time Making Repetitive Motions	CX	n/a	2.55	37	0.2556	2.0348	3.0714	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.i	Spend Time Making Repetitive Motions	CXP	1	24.08	37	9.0918	10.3653	46.5107	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.i	Spend Time Making Repetitive Motions	CXP	2	32.99	37	8.4003	18.5512	51.5479	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.i	Spend Time Making Repetitive Motions	CXP	3	10.98	37	7.8860	2.3428	38.7844	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.i	Spend Time Making Repetitive Motions	CXP	4	27.48	37	11.3121	10.6999	54.5068	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.d.1.i	Spend Time Making Repetitive Motions	CXP	5	4.48	37	4.5319	0.5459	28.6452	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.e.1.d	Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets	CX	n/a	1.77	37	0.2903	1.1832	2.3608	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.e.1.d	Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets	CXP	1	60.68	37	13.1253	33.5868	82.4856	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.e.1.d	Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets	CXP	2	18.90	37	8.8065	6.7752	42.7687	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.e.1.d	Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets	CXP	3	6.39	37	4.7973	1.3243	25.7717	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.e.1.d	Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets	CXP	4	10.60	37	7.3941	2.3763	36.5931	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.e.1.d	Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets	CXP	5	3.43	37	3.4845	0.4199	23.0585	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.e.1.e	Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection	CX	n/a	1.21	37	0.1391	1.0000	1.4877	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.e.1.e	Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection	CXP	1	86.34	37	8.2248	60.5750	96.2977	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.e.1.e	Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection	CXP	2	6.98	37	5.0124	1.5425	26.4254	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.e.1.e	Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection	CXP	3	6.46	37	6.4200	0.7938	37.3358	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.e.1.e	Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection	CXP	4	0.22	37	0.2302	0.0269	1.8018	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.e.1.e	Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection	CXP	5	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.1	Consequence of Error	CX	n/a	3.02	37	0.2647	2.4869	3.5605	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.1	Consequence of Error	CXP	1	14.08	37	7.2938	4.6016	35.7576	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.1	Consequence of Error	CXP	2	32.97	37	7.9279	19.1956	50.4460	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.1	Consequence of Error	CXP	3	8.44	37	5.2616	2.2675	26.8308	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.1	Consequence of Error	CXP	4	25.53	37	11.4327	9.1949	53.7190	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.1	Consequence of Error	CXP	5	18.98	37	9.2817	6.4444	44.3450	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.2.a	Impact of Decisions on Co-workers or Company Results	CX	n/a	4.75	37	0.0688	4.6117	4.8907	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.2.a	Impact of Decisions on Co-workers or Company Results	CXP	1	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.2.a	Impact of Decisions on Co-workers or Company Results	CXP	2	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.2.a	Impact of Decisions on Co-workers or Company Results	CXP	3	0.73	37	0.7521	0.0888	5.7058	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.2.a	Impact of Decisions on Co-workers or Company Results	CXP	4	23.42	37	6.8254	12.3840	39.8212	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.2.a	Impact of Decisions on Co-workers or Company Results	CXP	5	75.85	37	6.8107	59.6397	86.9740	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.2.b	Frequency of Decision Making	CX	n/a	4.59	36	0.1104	4.3624	4.8106	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.2.b	Frequency of Decision Making	CXP	1	0.00	36	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.2.b	Frequency of Decision Making	CXP	2	0.00	36	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.2.b	Frequency of Decision Making	CXP	3	13.70	36	6.2608	5.1408	31.7482	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.2.b	Frequency of Decision Making	CXP	4	13.95	36	6.4561	5.1571	32.5710	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.2.b	Frequency of Decision Making	CXP	5	72.35	36	6.5227	57.4446	83.5338	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.4	Freedom to Make Decisions	CX	n/a	4.95	36	0.0365	4.8802	5.0000	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.4	Freedom to Make Decisions	CXP	1	0.00	36	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.4	Freedom to Make Decisions	CXP	2	0.00	36	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.4	Freedom to Make Decisions	CXP	3	0.00	36	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.4	Freedom to Make Decisions	CXP	4	4.57	36	3.6475	0.8698	20.7319	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.a.4	Freedom to Make Decisions	CXP	5	95.43	36	3.6475	79.2681	99.1302	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.2	Degree of Automation	CX	n/a	2.23	37	0.2128	1.8017	2.6648	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.2	Degree of Automation	CXP	1	38.76	37	8.8670	22.8784	57.4462	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.2	Degree of Automation	CXP	2	18.17	37	8.7032	6.3455	42.1232	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.2	Degree of Automation	CXP	3	24.06	37	7.5659	12.0332	42.3209	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.2	Degree of Automation	CXP	4	19.01	37	6.3778	9.2024	35.2259	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.2	Degree of Automation	CXP	5	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.4	Importance of Being Exact or Accurate	CX	n/a	4.47	37	0.1451	4.1757	4.7640	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.4	Importance of Being Exact or Accurate	CXP	1	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.4	Importance of Being Exact or Accurate	CXP	2	2.05	37	2.0524	0.2625	14.2645	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.4	Importance of Being Exact or Accurate	CXP	3	11.57	37	5.6148	4.1197	28.4784	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.4	Importance of Being Exact or Accurate	CXP	4	23.73	37	6.7060	12.7987	39.7466	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.4	Importance of Being Exact or Accurate	CXP	5	62.65	37	8.1049	45.3839	77.2026	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.7	Importance of Repeating Same Tasks	CX	n/a	3.37	37	0.2256	2.9101	3.8251	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.7	Importance of Repeating Same Tasks	CXP	1	10.18	37	5.9637	2.9322	29.8464	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.7	Importance of Repeating Same Tasks	CXP	2	5.81	37	3.4623	1.6794	18.2047	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.7	Importance of Repeating Same Tasks	CXP	3	37.21	37	8.9272	21.4460	56.2575	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.7	Importance of Repeating Same Tasks	CXP	4	30.67	37	11.2018	13.1948	56.2890	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.7	Importance of Repeating Same Tasks	CXP	5	16.13	37	8.8224	4.8742	41.9222	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.8	Determine Tasks, Priorities and Goals	CX	n/a	4.80	37	0.1027	4.5902	5.0000	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.8	Determine Tasks, Priorities and Goals	CXP	1	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.8	Determine Tasks, Priorities and Goals	CXP	2	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.8	Determine Tasks, Priorities and Goals	CXP	3	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.8	Determine Tasks, Priorities and Goals	CXP	4	20.16	37	10.2684	6.4748	47.9385	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.b.8	Determine Tasks, Priorities and Goals	CXP	5	79.84	37	10.2684	52.0615	93.5252	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.c.1	Level of Competition	CX	n/a	3.57	36	0.2769	3.0125	4.1367	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.c.1	Level of Competition	CXP	1	17.12	36	8.1103	6.0807	39.7299	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.c.1	Level of Competition	CXP	2	3.37	36	2.4861	0.7335	14.1151	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.c.1	Level of Competition	CXP	3	17.07	36	7.5640	6.5043	37.8494	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.c.1	Level of Competition	CXP	4	29.81	36	11.3267	12.3985	56.0367	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.c.1	Level of Competition	CXP	5	32.63	36	9.0448	17.3606	52.7548	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.1	Time Pressure	CX	n/a	4.16	37	0.1408	3.8724	4.4434	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.1	Time Pressure	CXP	1	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.1	Time Pressure	CXP	2	3.41	37	3.4751	0.4149	23.0604	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.1	Time Pressure	CXP	3	14.38	37	7.3766	4.7459	36.1471	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.1	Time Pressure	CXP	4	45.21	37	10.1764	26.3967	65.4966	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.1	Time Pressure	CXP	5	37.00	37	7.9971	22.6524	54.0794	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.3	Pace Determined by Speed of Equipment	CX	n/a	1.35	37	0.1499	1.0421	1.6503	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.3	Pace Determined by Speed of Equipment	CXP	1	78.12	37	8.0310	57.9247	90.2498	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.3	Pace Determined by Speed of Equipment	CXP	2	13.33	37	6.6646	4.5579	33.1341	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.3	Pace Determined by Speed of Equipment	CXP	3	6.46	37	6.4200	0.7938	37.3358	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.3	Pace Determined by Speed of Equipment	CXP	4	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.3	Pace Determined by Speed of Equipment	CXP	5	2.09	37	2.1474	0.2542	15.1915	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.4	Work Schedules	CT	n/a	1.09	37	0.0525	1.0000	1.1955	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.4	Work Schedules	CTP	1	91.58	37	5.1340	73.8125	97.6746	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.4	Work Schedules	CTP	2	7.93	37	5.0632	2.0689	26.0080	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.4	Work Schedules	CTP	3	0.48	37	0.5026	0.0583	3.8859	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.8	Duration of Typical Work Week	CT	n/a	2.86	37	0.0725	2.7131	3.0000	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.8	Duration of Typical Work Week	CTP	1	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.8	Duration of Typical Work Week	CTP	2	13.99	37	7.2506	4.5724	35.5705	N	n/a	08/2023	Incumbent
11-1011.00	4.C.3.d.8	Duration of Typical Work Week	CTP	3	86.01	37	7.2506	64.4295	95.4276	N	n/a	08/2023	Incumbent
11-1011.03	4.C.1.a.2.c	Public Speaking	CX	n/a	2.93	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.c	Public Speaking	CXP	1	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.c	Public Speaking	CXP	2	25.93	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.c	Public Speaking	CXP	3	55.56	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.c	Public Speaking	CXP	4	18.52	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.c	Public Speaking	CXP	5	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.f	Telephone Conversations	CX	n/a	4.74	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.f	Telephone Conversations	CXP	1	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.f	Telephone Conversations	CXP	2	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.f	Telephone Conversations	CXP	3	7.41	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
